frameNo	startTime	endTime	dialogue
143	00:08:11,190	00:08:15,251	$There's a mollusk, see?$And he walks up to a sea...
144	00:08:15,294	00:08:17,353	$He doesn't walk up,$he swims up.
145	00:08:17,396	00:08:19,261	$Actually,$the mollusk isn't moving.
146	00:08:19,298	00:08:22,859	$He's in one place,$and then the sea cucumber...
147	00:08:22,902	00:08:24,369	$Well, they... I'm mixed up.
148	00:08:24,403	00:08:27,133	$There was a mollusk$and a sea cucumber.
149	00:08:27,173	00:08:28,174	$None of them were walking,$so forget that l...
150	00:08:28,174	00:08:28,731	$None of them were walking,$so forget that l...
151	00:08:28,774	00:08:32,005	$Sheldon! Get out of$Mr. Johannsen's yard now!
152	00:08:32,044	00:08:34,410	$- Whoa!$- All right, you kids!
153	00:08:34,447	00:08:37,507	$Ooh, where'd you go?
154	00:08:37,550	00:08:39,711	$Dad, can I go play, too?$Can I?
155	00:08:39,752	00:08:42,744	$I would feel better if$you'd play on the sponge beds.
156	00:08:47,326	00:08:49,294	$That's where I would play.
157	00:08:50,930	00:08:53,364	$- What's wrong with his fin?$- He looks funny.
158	00:08:53,399	00:08:55,765	$Ow! Hey, what'd I do?
159	00:08:55,801	00:08:57,769	$Be nice.$It's his first time at school.
160	00:08:57,803	00:09:00,499	$He was born with it.$We call it his lucky fin.
161	00:09:00,606	00:09:02,801	$- Dad...$- See this tentacle?
162	00:09:02,842	00:09:04,969	$It's actually shorter$than all my other tentacles...
163	00:09:05,011	00:09:07,138	$but you can't really tell.
164	00:09:07,179	00:09:09,613	$Especially when$I twirl them like this.
165	00:09:09,649	00:09:11,708	$I'm H-2-O intolerant.
166	00:09:11,751	00:09:13,719	$- Ah-choo!$- I'm obnoxious.
167	00:09:13,753	00:09:15,311	$<i>Oh</i>
168	00:09:15,354	00:09:18,187	$<i>Let's name the zones,</i>$<i>the zones, the zones</i>
169	00:09:18,224	00:09:21,387	$<i>Let's name</i>$<i>the zones of the open sea</i>
170	00:09:21,427	00:09:22,621	$Mr. Ray!
171	00:09:22,662	00:09:25,563	$- Come on, Nemo.$- You better stay with me.
172	00:09:25,598	00:09:27,463	$<i>Mesopelagic, bathyal,</i>$<i>abyssalpelagic</i>
173	00:09:27,500	00:09:30,936	$<i>All the rest are too deep</i>$<i>for you and me to see</i>
174	00:09:30,970	00:09:34,303	$Huh. I wonder where$my class has gone?
175	00:09:34,340	00:09:36,069	$We're under here!
176	00:09:36,108	00:09:37,973	$Oh, there you are.
177	00:09:38,010	00:09:39,568	$Climb aboard, explorers.
178	00:09:39,612	00:09:40,909	$<i>Oh, knowledge</i>$<i>exploring</i>
179	00:09:40,947	00:09:42,437	$<i>Is, oh, so lyrical</i>
180	00:09:42,481	00:09:44,915	$<i>When you think thoughts</i>$<i>that are empirical</i>
181	00:09:44,951	00:09:46,111	$Dad, you can go now.
182	00:09:46,152	00:09:49,246	$- Hello. Who is this?$- I'm Nemo.
183	00:09:49,288	00:09:52,951	$Nemo, all new explorers$must answer a science question.
184	00:09:52,992	00:09:55,790	$- OK.$- You live in what kind of home?
185	00:09:55,828	00:09:57,523	$An anemon-none.
186	00:09:57,563	00:09:59,554	$A nemenem-menome.
187	00:09:59,599	00:10:02,625	$OK, don't hurt yourself.$Welcome aboard, explorers.
188	00:10:02,668	00:10:04,602	$Just so you know,$he's got a little fin.
189	00:10:04,637	00:10:06,298	$I find if he's having$trouble swimming...
190	00:10:06,339	00:10:08,307	$I let him take a break,$10, 15 minutes.
191	00:10:08,341	00:10:10,775	$Dad, it's time$for you to go now.
192	00:10:10,810	00:10:12,869	$Don't worry. We're gonna$stay together as a group.
193	00:10:12,912	00:10:15,312	$OK, class,$optical orbits up front.
194	00:10:15,348	00:10:18,340	$And remember, we keep$our supraesophogeal ganglion...
195	00:10:18,384	00:10:20,818	$to ourselves.$That means you, Jimmy.
196	00:10:20,853	00:10:20,953	$Aw, man!
197	00:10:20,953	00:10:22,818	$Aw, man!
198	00:10:22,855	00:10:24,880	$Bye, Nemo!
199	00:10:24,924	00:10:26,323	$Bye, Dad!
200	00:10:26,359	00:10:28,020	$Bye, son!
201	00:10:30,229	00:10:32,026	$Be safe.
202	00:10:32,064	00:10:34,624	$You're doing pretty well$for a first-timer.
203	00:10:34,667	00:10:36,999	$You can't hold on to them$forever, can you?
204	00:10:37,036	00:10:39,266	$I had a tough time with$my oldest out at the drop off.
205	00:10:39,305	00:10:41,569	$They got to grow up...$The drop off?
206	00:10:41,607	00:10:44,474	$They're going to the drop off?$What are you, insane?
207	00:10:44,510	00:10:47,809	$Why don't we fry them up now$and serve them with chips?
208	00:10:47,847	00:10:49,109	$Hey, Marty, calm down.
209	00:10:49,148	00:10:51,412	$Don't tell me$to be calm, pony boy.
210	00:10:51,450	00:10:53,748	$Pony boy?
211	00:10:53,786	00:10:56,653	$For a clownfish,$he really isn't that funny.
212	00:10:56,689	00:10:58,088	$Pity.
213	00:10:58,157	00:10:59,988	$<i>Oh</i>
214	00:11:00,026	00:11:02,586	$<i>Let's name the species,</i>$<i>the species, the species</i>
215	00:11:02,628	00:11:03,925	$<i>Let's name the species</i>$<i>that live in the sea</i>
216	00:11:03,963	00:11:05,123	$Whoa.
217	00:11:05,164	00:11:06,961	$<i>There's</i>
218	00:11:06,999	00:11:09,058	$<i>Porifera, coelenterata,</i>$<i>hydrozoa, scyphozoa</i>
219	00:11:09,101	00:11:11,160	$<i>Anthozoa, ctenophora,</i>$<i>bryozoas, three</i>
220	00:11:11,203	00:11:13,865	$<i>Gastropoda, arthropoda,</i>$<i>echinoderma</i>
221	00:11:13,906	00:11:15,203	$<i>And some fish</i>$<i>like you and me</i>
222	00:11:15,241	00:11:16,572	$Come on, sing with me.
223	00:11:16,609	00:11:18,941	$<i>Oh</i>
224	00:11:23,816	00:11:25,681	$<i>Just the girls this time.</i>
225	00:11:25,718	00:11:27,686	$<i>Oh, seaweed is cool</i>
226	00:11:27,720	00:11:28,982	$<i>Seaweed is fun</i>
227	00:11:29,021	00:11:30,488	$<i>It makes its food</i>
228	00:11:33,793	00:11:35,818	$OK, the drop off.
229	00:11:35,861	00:11:38,125	$All right, kids,$feel free to explore...
230	00:11:38,164	00:11:39,324	$but stay close.
231	00:11:39,365	00:11:41,560	$Stromalitic$cyanobacteria! Gather.
232	00:11:42,902	00:11:45,632	$An entire ecosystem contained$in one infinitesimal speck.
233	00:11:45,671	00:11:47,332	$<i>There are as many protein pairs</i>$<i>contained in this...</i>
234	00:11:47,373	00:11:49,807	$Come on, let's go.
235	00:11:49,842	00:11:51,207	$<i>Come on, sing with me!</i>
236	00:11:51,243	00:11:53,507	$<i>There's porifera,</i>$<i>coelenterata</i>
237	00:11:53,546	00:11:55,013	$<i>Hydrozoa, scyphozoa</i>
238	00:11:55,047	00:11:56,615	$<i>Anthozoa, ctenophora,</i>$<i>bryozoas, three</i>
239	00:11:56,615	00:11:59,675	$Hey, guys, wait up!
240	00:11:59,719	00:12:01,983	$Whoa.
241	00:12:04,623	00:12:06,716	$Cool.
242	00:12:08,394	00:12:10,021	$Saved your life!
243	00:12:10,062	00:12:12,394	$Aw, you guys made me ink.
244	00:12:13,833	00:12:15,266	$What's that?
245	00:12:16,702	00:12:19,728	$<i>I know what that is.</i>$<i>Sandy Plankton saw one.</i>
246	00:12:19,772	00:12:22,866	$He said it was called a butt.
247	00:12:22,908	00:12:24,341	$- Whoa.$- Wow.
248	00:12:24,376	00:12:26,674	$<i>That's a pretty big butt.</i>
249	00:12:28,147	00:12:31,344	$Oh, look at me.$I'm going to touch the butt.
250	00:12:31,383	00:12:33,851	$- Ah-choo! Whoa!$- Ha ha ha!
251	00:12:33,886	00:12:36,684	$Oh, yeah?$Let's see you get closer.
252	00:12:36,722	00:12:38,349	$OK.
253	00:12:38,390	00:12:40,881	$Beat that.
254	00:12:40,926	00:12:43,451	$Come on, Nemo.$How far can you go?
255	00:12:43,496	00:12:45,964	$My dad says it's not safe.
256	00:12:45,998	00:12:48,933	$- Nemo! No!$- Dad?
257	00:12:48,968	00:12:50,401	$You were about$to swim into open water.
258	00:12:50,436	00:12:51,664	$No, I wasn't...
259	00:12:51,704	00:12:53,535	$Good thing I was here.$If I hadn't shown up...
260	00:12:53,572	00:12:55,836	$- He wasn't going to go.$- He was too afraid.
261	00:12:55,875	00:12:57,172	$No, I wasn't.
262	00:12:57,209	00:12:58,642	$This does not$concern you, kids...
263	00:12:58,677	00:13:01,043	$and you're lucky$I don't tell your parents.
264	00:13:01,080	00:13:02,377	$You know you can't swim well.
265	00:13:02,414	00:13:04,348	$I can swim fine, Dad, OK?
266	00:13:04,383	00:13:07,284	$No, it's not OK.$You shouldn't be near here.
267	00:13:07,319	00:13:09,719	$OK, I was right. You'll start$school in a year or two.
268	00:13:09,755	00:13:12,485	$No, Dad! Just because$you're scared of the ocean...
269	00:13:12,525	00:13:12,992	$Clearly, you're not ready...
270	00:13:12,992	00:13:13,686	$Clearly, you're not ready...
271	00:13:13,726	00:13:14,886	$and you're not coming back$until you are.
272	00:13:14,927	00:13:16,189	$You think$you can do these things...
273	00:13:16,228	00:13:18,128	$but you just can't, Nemo!
274	00:13:19,465	00:13:21,057	$I hate you.
275	00:13:22,268	00:13:24,896	$<i>There's</i>
276	00:13:24,937	00:13:26,768	$Nothing to see.$Gather. Over there.
277	00:13:26,806	00:13:28,068	$Excuse me.$Is there anything I can do?
278	00:13:28,107	00:13:30,166	$I am a scientist, sir.$Is there any problem?
279	00:13:30,209	00:13:32,302	$I'm sorry. I didn't mean$to interrupt things.
280	00:13:32,344	00:13:35,177	$He isn't a good swimmer,$and it's a little too soon...
281	00:13:35,214	00:13:36,943	$<i>for him to be out here</i>$<i>unsupervised.</i>
282	00:13:36,982	00:13:38,745	$<i>I can assure you,</i>$<i>he's quite safe with me.</i>
283	00:13:38,784	00:13:41,753	$I'm sure he is,$but you have a large class...
284	00:13:41,787	00:13:44,620	$and he can get lost from sight$if you're not looking.
285	00:13:44,657	00:13:44,857	$<i>I'm not saying</i>$<i>you're not looking.</i>
286	00:13:44,857	00:13:45,846	$<i>I'm not saying</i>$<i>you're not looking.</i>
287	00:13:45,891	00:13:48,826	$Oh, my gosh!$Nemo's swimming out to sea!
288	00:13:50,629	00:13:51,891	$Nemo!
289	00:13:53,299	00:13:54,994	$<i>What do you think you're doing?</i>
290	00:13:55,034	00:13:57,832	$You'll get stuck out there...
291	00:13:57,870	00:14:01,362	$and I'll have to get you$before another fish does.
292	00:14:01,473	00:14:03,304	$Get back here!
293	00:14:03,342	00:14:06,334	$I said get back here now!
294	00:14:06,378	00:14:11,213	$Stop! You take$one more move, mister...
295	00:14:11,250	00:14:13,115	$<i>Don't you dare!</i>
296	00:14:13,152	00:14:15,211	$If you put one fin$on that boat...
297	00:14:15,254	00:14:16,744	$Are you listening to me?
298	00:14:16,789	00:14:20,418	$Don't touch the bo... Nemo!
299	00:14:20,459	00:14:22,086	$He touched the butt.
300	00:14:22,127	00:14:24,857	$You paddle your little tail$right back here, Nemo.
301	00:14:24,897	00:14:26,057	$That's right.
302	00:14:26,098	00:14:27,793	$You are in big trouble,$young man.
303	00:14:27,833	00:14:29,630	$<i>Do you hear me? Big...</i>
304	00:14:31,437	00:14:33,405	$- Big...$- Aah!
305	00:14:34,773	00:14:36,604	$Aah!
306	00:14:36,642	00:14:38,701	$Daddy! Help me!
307	00:14:38,744	00:14:41,713	$I'm coming, Nemo!
308	00:14:43,015	00:14:44,949	$- Aah!$- Get under me, kids!
309	00:14:44,984	00:14:46,383	$Aah! Oh! No!
310	00:14:46,418	00:14:48,113	$Dad!
311	00:14:48,153	00:14:50,553	$Daddy!
312	00:14:53,792	00:14:56,659	$Oh! Nemo!
313	00:14:59,098	00:15:01,089	$Unh. Nemo!
314	00:15:01,133	00:15:04,762	$Nemo, no! Nemo!
315	00:15:04,803	00:15:07,772	$Nemo! Nemo! No!
316	00:15:09,675	00:15:12,166	$No!
317	00:15:12,211	00:15:15,112	$Aah!
318	00:15:16,448	00:15:19,474	$Uhh.
319	00:15:21,120	00:15:22,610	$Nemo! Nemo!
320	00:15:32,865	00:15:34,127	$Whoa! Hold on.
321	00:15:46,912	00:15:48,140	$Oh, no.
322	00:15:48,180	00:15:50,774	$<i>No. No, it's gone.</i>$<i>It's gone.</i>
323	00:15:50,816	00:15:52,113	$No, no,$it can't be gone.
324	00:15:52,151	00:15:54,483	$No, no! Nemo!
325	00:15:54,520	00:15:56,121	$<i>Nemo! Nemo!</i>
326	00:15:56,121	00:15:57,713	$<i>Nemo! Nemo!</i>
327	00:15:57,756	00:15:59,986	$No!
328	00:16:00,092	00:16:02,686	$Nemo! Nemo!
329	00:16:02,728	00:16:05,526	$No! No, please, no!
330	00:16:08,334	00:16:09,528	$No, no!
331	00:16:11,470	00:16:13,461	$Has anybody seen a boat?
332	00:16:13,505	00:16:15,336	$Please! A white boat!
333	00:16:15,374	00:16:17,035	$They took my son!
334	00:16:17,076	00:16:19,578	$My son! Help me, please.
335	00:16:19,578	00:16:21,478	$- Look out!$- What?
336	00:16:21,513	00:16:23,913	$Ooh. Ohh.
337	00:16:23,949	00:16:27,544	$Ohh. Oh, oh. Sorry.$I didn't see you.
338	00:16:27,586	00:16:30,885	$- Sir? Are you OK?$- He's gone, he's gone.
339	00:16:30,923	00:16:32,356	$There, there.$It's all right.
340	00:16:32,391	00:16:33,653	$- He's gone.$- It'll be OK.
341	00:16:33,692	00:16:37,253	$No, no. They took him away.$I have to find the boat.
342	00:16:37,296	00:16:39,355	$A boat?$Hey, I've seen a boat.
343	00:16:39,398	00:16:41,696	$- You have?$- It passed by not too long ago.
344	00:16:41,734	00:16:44,100	$- A white one?$- Hi. I'm Dory.
345	00:16:44,136	00:16:45,330	$Where? Which way?
346	00:16:45,371	00:16:47,532	$Oh, oh, oh.$It went this way.
347	00:16:47,573	00:16:48,972	$It went this way.$Follow me.
348	00:16:49,008	00:16:52,375	$Thank you. Thank you,$thank you so much.
349	00:16:52,411	00:16:53,537	$No problem.
350	00:17:18,537	00:17:20,129	$Hey...
351	00:17:20,172	00:17:21,571	$Wait!
352	00:17:27,679	00:17:29,772	$- Will you quit it?$- What?
353	00:17:29,815	00:17:32,579	$I'm trying to swim here.$Ocean isn't big enough for you?
354	00:17:32,618	00:17:32,951	$You got a problem, buddy?$Huh? Huh?
355	00:17:32,951	00:17:34,816	$You got a problem, buddy?$Huh? Huh?
356	00:17:34,853	00:17:37,549	$Do you? Do you?$You want a piece of me?
357	00:17:37,589	00:17:39,454	$Ooh, I'm scared now. What?
358	00:17:39,491	00:17:42,085	$- Wait a minute.$- Stop following me, OK?
359	00:17:42,127	00:17:45,255	$What? You're showing me$where the boat went.
360	00:17:45,297	00:17:46,899	$A boat?$Hey, I've seen a boat.
361	00:17:47,132	00:17:50,329	$It passed by not too long ago.$It went this way.
362	00:17:50,369	00:17:51,768	$It went this way.$Follow me.
363	00:17:51,804	00:17:53,931	$Wait a minute.$What is going on?
364	00:17:53,972	00:17:56,270	$You already told me$which way the boat was going.
365	00:17:56,308	00:17:59,505	$I did? Oh, no.
366	00:17:59,545	00:18:01,843	$If this is some kind of$practical joke, it's not funny.
367	00:18:01,880	00:18:04,178	$And I know funny.$I'm a clownfish.
368	00:18:04,216	00:18:07,617	$No, it's not. I know it's not.$I'm so sorry.
369	00:18:07,653	00:18:10,622	$See, I suffer from$short-term memory loss.
370	00:18:10,656	00:18:14,490	$Short-term memory loss.$I don't believe this.
371	00:18:14,526	00:18:16,391	$No, it's true. I forget things$almost instantly.
372	00:18:16,428	00:18:20,387	$It runs in my family.$At least, I think it does.
373	00:18:20,432	00:18:24,459	$Um, hmm. Where are they?
374	00:18:29,208	00:18:30,642	$Can I help you?
375	00:18:30,642	00:18:33,304	$Something's wrong$with you... really.
376	00:18:33,345	00:18:35,210	$You're wasting my time.
377	00:18:35,247	00:18:37,306	$I have to find my son.
378	00:18:40,586	00:18:42,110	$Hello.
379	00:18:42,154	00:18:44,145	$- Ohh.$- Well, hi!
380	00:18:44,189	00:18:47,215	$Name's Bruce.
381	00:18:47,259	00:18:49,022	$It's all right.$I understand.
382	00:18:49,061	00:18:52,792	$Why trust a shark, right?
383	00:18:59,872	00:19:02,966	$So, what's a couple$of bites like you...
384	00:19:03,008	00:19:04,669	$doing out so late, eh?
385	00:19:04,710	00:19:06,735	$We're not doing anything.$We're not even out.
386	00:19:06,778	00:19:09,008	$Great!$Then how'd you morsels...
387	00:19:09,047	00:19:12,312	$like to come to a little$get-together I'm having?
388	00:19:12,351	00:19:13,545	$You mean, like a party?
389	00:19:13,585	00:19:17,646	$Yeah, right. A party.$What do you say?
390	00:19:17,689	00:19:19,850	$I love parties.$That sounds like fun.
391	00:19:19,892	00:19:22,292	$Parties are fun,$and it's tempting, but...
392	00:19:22,327	00:19:26,229	$Oh, come on, I insist.
393	00:19:26,265	00:19:29,462	$OK.$That's all that matters.
394	00:19:32,104	00:19:34,265	$<i>Hey, look, balloons.</i>$<i>It is a party.</i>
395	00:19:34,306	00:19:36,638	$Ha ha ha ha!$Mind your distance, though.
396	00:19:36,675	00:19:39,337	$Those balloons$can be a bit dodgy.
397	00:19:39,378	00:19:41,676	$You wouldn't want$one of them to pop.
398	00:19:50,722	00:19:52,155	$Oh.
399	00:19:53,425	00:19:54,619	$<i>Ohh.</i>
400	00:19:55,627	00:19:58,255	$Anchor! Chum!
401	00:19:58,297	00:20:01,095	$There you are, Bruce.$Finally.
402	00:20:01,133	00:20:03,795	$- We got company.$- It's about time, mate.
403	00:20:03,835	00:20:04,703	$We've already gone$through the snacks...
404	00:20:04,703	00:20:05,294	$We've already gone$through the snacks...
405	00:20:05,337	00:20:06,895	$<i>and I'm still starving.</i>
406	00:20:06,939	00:20:09,134	$We almost had a feeding frenzy.
407	00:20:09,174	00:20:10,903	$Come on,$let's get this over with.
408	00:20:12,144	00:20:13,736	$<i>Right, then.</i>
409	00:20:13,779	00:20:16,077	$The meeting has officially$come to order.
410	00:20:16,114	00:20:17,604	$Let us all say the pledge.
411	00:20:17,649	00:20:22,143	$I am a nice shark,$not a mindless eating machine.
412	00:20:22,187	00:20:24,815	$If I am to change this image...
413	00:20:24,856	00:20:27,290	$<i>I must first change myself.</i>
