startTime	endTime	dialogue	slice
00:06:02,061	00:06:04,962	 There's no problem if you dont. You can wait 5 or 6 years.	3
00:06:04,997	00:06:06,862	 Come on, Dad, it's time for school.	3
00:06:06,899	00:06:09,561	 Forgot to brush. Ohh.	3
00:06:09,602	00:06:11,593	 Do you want this anemone to sting you?	3
00:06:11,637	00:06:14,037	 Yes. Brush.	3
00:06:14,073	00:06:15,734	 OK, I'm done. You missed a spot.	3
00:06:15,775	00:06:16,075	 Where? There.	3
00:06:17,777	00:06:20,746	 Ha ha! Right there. And here and here.	3
00:06:29,522	00:06:29,722	 All right, we're excited.	3
00:06:30,923	00:06:32,686	 The first day of school. Here we go.	3
00:06:32,725	00:06:34,693	 We're ready to learn to get some knowledge.	4
00:06:34,727	00:06:37,127	 What's the one thing we have to remember about the ocean?	4
00:06:37,163	00:06:39,597	 It's not safe. That's my boy.	4
00:06:39,632	00:06:41,896	 First, we check to see that the coast is clear.	4
00:06:41,934	00:06:44,334	 We go out... and back in.	4
00:06:44,370	00:06:46,668	 And then we go out... and back in.	4
00:06:46,706	00:06:49,732	 And then one more time... out and back in.	4
00:06:49,776	00:06:51,607	 And sometimes, if you want to do it four times...	4
00:06:51,644	00:06:54,010	 Dad... All right, come on, boy.	4
00:06:56,716	00:06:59,810	 Maybe while I'm at school, I'll see a shark.	4
00:06:59,852	00:07:02,514	 I highly doubt that. Have you ever met a shark?	4
00:07:02,555	00:07:04,216	 No, and I dont plan to.	4
00:07:04,257	00:07:07,454	 How old are sea turtles? I dont know.	4
00:07:07,493	00:07:09,188	 Sandy Plankton from next door...	4
00:07:09,228	00:07:12,131	 he says that sea turtles live to be about 100 years old.	4
00:07:14,600	00:07:16,864	 If I ever meet a sea turtle, I'll ask him.	4
00:07:16,903	00:07:18,837	 After I'm done talking to the shark, OK?	4
00:07:18,871	00:07:20,440	 Whoa! Hold on. Wait to cross.	4
00:07:22,508	00:07:24,703	 Hold my fin.	4
00:07:24,744	00:07:26,075	 Dad, you're not going to freak out...	4
00:07:26,112	00:07:28,103	 like you did at the petting zoo, are you?	4
00:07:28,147	00:07:30,911	 That snail was about to charge.	4
00:07:30,950	00:07:33,384	 Hmm. I wonder where we're supposed to go.	4
00:07:33,419	00:07:34,909	 Bye, Mom!	4
00:07:34,954	00:07:37,047	 I'll pick you up after school.	4
00:07:37,089	00:07:38,784	 Ha ha!	4
00:07:38,825	00:07:41,885	 Come on, you guys, stop it! Give it back!	4
00:07:41,928	00:07:44,920	 Come on, we'll try over there.	4
00:07:46,265	00:07:48,324	 Excuse me, is this where we meet his teacher?	4
00:07:48,367	00:07:50,892	 Well, look who's out of the anemone.	4
00:07:50,937	00:07:51,637	 Yes. Shocking, I know.	4
00:07:52,171	00:07:53,934	 Marty, right? Marlin.	4
00:07:53,973	00:07:55,133	 Bob. Ted.	4
00:07:55,174	00:07:57,165	 Bill. Hey, you're a clownfish.	4
00:07:57,210	00:07:59,770	 You're funny, right? Tell us a joke.	4
00:07:59,812	00:08:01,109	 Yeah. Yeah.	4
00:08:01,147	00:08:04,048	 Well, actually, that's a common misconception.	4
00:08:04,083	00:08:06,608	 Clownfish are no funnier than any other fish.	4
00:08:06,652	00:08:08,643	 Come on, clownie. Do something funny.	4
00:08:08,688	00:08:11,156	 All right, I know one joke.	4
00:08:11,190	00:08:15,251	 There's a mollusk, see? And he walks up to a sea...	5
00:08:15,294	00:08:17,353	 He doesnt walk up, he swims up.	5
00:08:17,396	00:08:19,261	 Actually, the mollusk isn't moving.	5
00:08:19,298	00:08:22,859	 He's in one place, and then the sea cucumber...	5
00:08:22,902	00:08:24,369	 Well, they... I'm mixed up.	5
00:08:24,403	00:08:27,133	 There was a mollusk and a sea cucumber.	5
00:08:27,173	00:08:28,174	 None of them were walking, so forget that l...	5
00:08:28,774	00:08:32,005	 Sheldon! Get out of Mr. Johannsen's yard now!	5
00:08:32,044	00:08:34,410	 Whoa! All right, you kids!	5
00:08:34,447	00:08:37,507	 Ooh, where'd you go?	5
00:08:37,550	00:08:39,711	 Dad, can I go play, too? Can I?	5
00:08:39,752	00:08:42,744	 I would feel better if you'd play on the sponge beds.	5
00:08:47,326	00:08:49,294	 That's where I would play.	5
00:08:50,930	00:08:53,364	 What's wrong with his fin? He looks funny.	5
00:08:53,399	00:08:55,765	 Ow! Hey, what'd I do?	5
00:08:55,801	00:08:57,769	 Be nice. It's his first time at school.	5
00:08:57,803	00:09:00,499	 He was born with it. We call it his lucky fin.	5
00:09:00,606	00:09:02,801	 Dad... See this tentacle?	5
00:09:02,842	00:09:04,969	 It's actually shorter than all my other tentacles...	5
00:09:05,011	00:09:07,138	 but you cant really tell.	5
00:09:07,179	00:09:09,613	 Especially when I twirl them like this.	5
00:09:09,649	00:09:11,708	 I'm H-2-O intolerant.	5
00:09:11,751	00:09:13,719	 Ah-choo! I'm obnoxious.	5
00:09:13,753	00:09:15,311	 Oh	5
00:09:15,354	00:09:18,187	 Let's name the zones, the zones, the zones	5
00:09:18,224	00:09:21,387	 Let's name the zones of the open sea	5
00:09:21,427	00:09:22,621	 Mr. Ray!	5
00:09:22,662	00:09:25,563	 Come on, Nemo. You better stay with me.	5
00:09:25,598	00:09:27,463	 Mesopelagic, bathyal, abyssalpelagic	5
00:09:27,500	00:09:30,936	 All the rest are too deep for you and me to see	5
00:09:30,970	00:09:34,303	 Huh. I wonder where my class has gone?	5
00:09:34,340	00:09:36,069	 We're under here!	5
00:09:36,108	00:09:37,973	 Oh, there you are.	5
00:09:38,010	00:09:39,568	 Climb aboard, explorers.	5
00:09:39,612	00:09:40,909	 Oh, knowledge exploring	5
00:09:40,947	00:09:42,437	 Is, oh, so lyrical	5
00:09:42,481	00:09:44,915	 When you think thoughts that are empirical	5
00:09:44,951	00:09:46,111	 Dad, you can go now.	5
00:09:46,152	00:09:49,246	 Hello. Who is this? I'm Nemo.	5
00:09:49,288	00:09:52,951	 Nemo, all new explorers must answer a science question.	6
00:09:52,992	00:09:55,790	 OK. You live in what kind of home?	6
00:09:55,828	00:09:57,523	 An anemon-none.	6
00:09:57,563	00:09:59,554	 A nemenem-menome.	6
00:09:59,599	00:10:02,625	 OK, dont hurt yourself. Welcome aboard, explorers.	6
00:10:02,668	00:10:04,602	 Just so you know, he's got a little fin.	6
00:10:04,637	00:10:06,298	 I find if he's having trouble swimming...	6
00:10:06,339	00:10:08,307	 I let him take a break, 10, 15 minutes.	6
00:10:08,341	00:10:10,775	 Dad, it's time for you to go now.	6
00:10:10,810	00:10:12,869	 Don't worry. We're gonna stay together as a group.	6
00:10:12,912	00:10:15,312	 OK, class, optical orbits up front.	6
00:10:15,348	00:10:18,340	 And remember, we keep our supraesophogeal ganglion...	6
00:10:18,384	00:10:20,818	 to ourselves. That means you, Jimmy.	6
00:10:20,853	00:10:20,953	 Aw, man!	6
00:10:22,855	00:10:24,880	 Bye, Nemo!	6
00:10:24,924	00:10:26,323	 Bye, Dad!	6
00:10:26,359	00:10:28,020	 Bye, son!	6
00:10:30,229	00:10:32,026	 Be safe.	6
00:10:32,064	00:10:34,624	 You're doing pretty well for a first-timer.	6
00:10:34,667	00:10:36,999	 You cant hold on to them forever, can you?	6
00:10:37,036	00:10:39,266	 I had a tough time with my oldest out at the drop off.	6
00:10:39,305	00:10:41,569	 They got to grow up... The drop off?	6
00:10:41,607	00:10:44,474	 They're going to the drop off? What are you, insane?	6
00:10:44,510	00:10:47,809	 Why dont we fry them up now and serve them with chips?	6
00:10:47,847	00:10:49,109	 Hey, Marty, calm down.	6
00:10:49,148	00:10:51,412	 Don't tell me to be calm, pony boy.	6
00:10:51,450	00:10:53,748	 Pony boy?	6
00:10:53,786	00:10:56,653	 For a clownfish, he really isn't that funny.	6
00:10:56,689	00:10:58,088	 Pity.	6
00:10:58,157	00:10:59,988	 Oh	6
00:11:00,026	00:11:02,586	 Let's name the species, the species, the species	6
00:11:02,628	00:11:03,925	 Let's name the species that live in the sea	6
00:11:03,963	00:11:05,123	 Whoa.	6
00:11:05,164	00:11:06,961	 There's	6
00:11:06,999	00:11:09,058	 Porifera, coelenterata, hydrozoa, scyphozoa	6
00:11:09,101	00:11:11,160	 Anthozoa, ctenophora, bryozoas, three	6
00:11:11,203	00:11:13,865	 Gastropoda, arthropoda, echinoderma	6
00:11:13,906	00:11:15,203	 And some fish like you and me	6
00:11:15,241	00:11:16,572	 Come on, sing with me.	6
00:11:16,609	00:11:18,941	 Oh	6
00:11:23,816	00:11:25,681	 Just the girls this time.	6
00:11:25,718	00:11:27,686	 Oh, seaweed is cool	7
00:11:27,720	00:11:28,982	 Seaweed is fun	7
00:11:29,021	00:11:30,488	 It makes its food	7
00:11:33,793	00:11:35,818	 OK, the drop off.	7
00:11:35,861	00:11:38,125	 All right, kids, feel free to explore...	7
00:11:38,164	00:11:39,324	 but stay close.	7
00:11:39,365	00:11:41,560	 Stromalitic cyanobacteria! Gather.	7
00:11:42,902	00:11:45,632	 An entire ecosystem contained in one infinitesimal speck.	7
00:11:45,671	00:11:47,332	 There are as many protein pairs contained in this...	7
00:11:47,373	00:11:49,807	 Come on, let's go.	7
00:11:49,842	00:11:51,207	 Come on, sing with me!	7
00:11:51,243	00:11:53,507	 There's porifera, coelenterata	7
00:11:53,546	00:11:55,013	 Hydrozoa, scyphozoa	7
00:11:55,047	00:11:56,615	 Anthozoa, ctenophora, bryozoas, three	7
00:11:56,615	00:11:59,675	 Hey, guys, wait up!	7
00:11:59,719	00:12:01,983	 Whoa.	7
00:12:04,623	00:12:06,716	 Cool.	7
00:12:08,394	00:12:10,021	 Saved your life!	7
00:12:10,062	00:12:12,394	 Aw, you guys made me ink.	7
00:12:13,833	00:12:15,266	 What's that?	7
00:12:16,702	00:12:19,728	 I know what that is. Sandy Plankton saw one.	7
00:12:19,772	00:12:22,866	 He said it was called a butt.	7
00:12:22,908	00:12:24,341	 Whoa. Wow.	7
00:12:24,376	00:12:26,674	 That's a pretty big butt.	7
00:12:28,147	00:12:31,344	 Oh, look at me. I'm going to touch the butt.	7
00:12:31,383	00:12:33,851	 Ah-choo! Whoa! Ha ha ha!	7
00:12:33,886	00:12:36,684	 Oh, yeah? Let's see you get closer.	7
00:12:36,722	00:12:38,349	 OK.	7
00:12:38,390	00:12:40,881	 Beat that.	7
00:12:40,926	00:12:43,451	 Come on, Nemo. How far can you go?	7
00:12:43,496	00:12:45,964	 My dad says it's not safe.	7
00:12:45,998	00:12:48,933	 Nemo! No! Dad?	7
00:12:48,968	00:12:50,401	 You were about to swim into open water.	7
00:12:50,436	00:12:51,664	 No, I wasn't...	7
00:12:51,704	00:12:53,535	 Good thing I was here. If I hadn't shown up...	7
00:12:53,572	00:12:55,836	 He wasn't going to go. He was too afraid.	7
00:12:55,875	00:12:57,172	 No, I wasn't.	7
00:12:57,209	00:12:58,642	 This does not concern you, kids...	7
00:12:58,677	00:13:01,043	 and you're lucky I dont tell your parents.	7
00:13:01,080	00:13:02,377	 You know you cant swim well.	7
00:13:02,414	00:13:04,348	 I can swim fine, Dad, OK?	7
00:13:04,383	00:13:07,284	 No, it's not OK. You shouldnt be near here.	8
00:13:07,319	00:13:09,719	 OK, I was right. You'll start school in a year or two.	8
00:13:09,755	00:13:12,485	 No, Dad! Just because you're scared of the ocean...	8
00:13:12,525	00:13:12,992	 Clearly, you're not ready...	8
00:13:13,726	00:13:14,886	 and you're not coming back until you are.	8
00:13:14,927	00:13:16,189	 You think you can do these things...	8
00:13:16,228	00:13:18,128	 but you just cant, Nemo!	8
00:13:19,465	00:13:21,057	 I hate you.	8
00:13:22,268	00:13:24,896	 There's	8
00:13:24,937	00:13:26,768	 Nothing to see. Gather. Over there.	8
00:13:26,806	00:13:28,068	 Excuse me. Is there anything I can do?	8
00:13:28,107	00:13:30,166	 I am a scientist, sir. Is there any problem?	8
00:13:30,209	00:13:32,302	 I'm sorry. I didnt mean to interrupt things.	8
00:13:32,344	00:13:35,177	 He isn't a good swimmer, and it's a little too soon...	8
00:13:35,214	00:13:36,943	 for him to be out here unsupervised.	8
00:13:36,982	00:13:38,745	 I can assure you, he's quite safe with me.	8
00:13:38,784	00:13:41,753	 I'm sure he is, but you have a large class...	8
00:13:41,787	00:13:44,620	 and he can get lost from sight if you're not looking.	8
00:13:44,657	00:13:44,857	 I'm not saying you're not looking.	8
00:13:45,891	00:13:48,826	 Oh, my gosh! Nemo's swimming out to sea!	8
00:13:50,629	00:13:51,891	 Nemo!	8
00:13:53,299	00:13:54,994	 What do you think you're doing?	8
00:13:55,034	00:13:57,832	 You'll get stuck out there...	8
00:13:57,870	00:14:01,362	 and I'll have to get you before another fish does.	8
00:14:01,473	00:14:03,304	 Get back here!	8
00:14:03,342	00:14:06,334	 I said get back here now!	8
00:14:06,378	00:14:11,213	 Stop! You take one more move, mister...	8
00:14:11,250	00:14:13,115	 Don't you dare!	8
00:14:13,152	00:14:15,211	 If you put one fin on that boat...	8
00:14:15,254	00:14:16,744	 Are you listening to me?	8
00:14:16,789	00:14:20,418	 Don't touch the bo... Nemo!	8
00:14:20,459	00:14:22,086	 He touched the butt.	8
00:14:22,127	00:14:24,857	 You paddle your little tail right back here, Nemo.	8
00:14:24,897	00:14:26,057	 That's right.	8
00:14:26,098	00:14:27,793	 You are in big trouble, young man.	8
00:14:27,833	00:14:29,630	 Do you hear me? Big...	8
00:14:31,437	00:14:33,405	 Big... Aah!	8
00:14:34,773	00:14:36,604	 Aah!	8
00:14:36,642	00:14:38,701	 Daddy! Help me!	8
00:14:38,744	00:14:41,713	 I'm coming, Nemo!	8
00:14:43,015	00:14:44,949	 Aah! Get under me, kids!	9
00:14:44,984	00:14:46,383	 Aah! Oh! No!	9
00:14:46,418	00:14:48,113	 Dad!	9
00:14:48,153	00:14:50,553	 Daddy!	9
00:14:53,792	00:14:56,659	 Oh! Nemo!	9
00:14:59,098	00:15:01,089	 Unh. Nemo!	9
00:15:01,133	00:15:04,762	 Nemo, no! Nemo!	9
00:15:04,803	00:15:07,772	 Nemo! Nemo! No!	9
00:15:09,675	00:15:12,166	 No!	9
00:15:12,211	00:15:15,112	 Aah!	9
00:15:16,448	00:15:19,474	 Uhh.	9
00:15:21,120	00:15:22,610	 Nemo! Nemo!	9
00:15:32,865	00:15:34,127	 Whoa! Hold on.	9
00:15:46,912	00:15:48,140	 Oh, no.	9
00:15:48,180	00:15:50,774	 No. No, it's gone. It's gone.	9
00:15:50,816	00:15:52,113	 No, no, it cant be gone.	9
00:15:52,151	00:15:54,483	 No, no! Nemo!	9
00:15:54,520	00:15:56,121	 Nemo! Nemo!	9
00:15:57,756	00:15:59,986	 No!	9
00:16:00,092	00:16:02,686	 Nemo! Nemo!	9
00:16:02,728	00:16:05,526	 No! No, please, no!	9
00:16:08,334	00:16:09,528	 No, no!	9
00:16:11,470	00:16:13,461	 Has anybody seen a boat?	9
00:16:13,505	00:16:15,336	 Please! A white boat!	9
00:16:15,374	00:16:17,035	 They took my son!	9
00:16:17,076	00:16:19,578	 My son! Help me, please.	9
00:16:19,578	00:16:21,478	 Look out! What?	10
00:16:21,513	00:16:23,913	 Ooh. Ohh.	10
00:16:23,949	00:16:27,544	 Ohh. Oh, oh. Sorry. I didnt see you.	10
00:16:27,586	00:16:30,885	 Sir? Are you OK? He's gone, he's gone.	10
00:16:30,923	00:16:32,356	 There, there. It's all right.	10
00:16:32,391	00:16:33,653	 He's gone. It'll be OK.	10
00:16:33,692	00:16:37,253	 No, no. They took him away. I have to find the boat.	10
00:16:37,296	00:16:39,355	 A boat? Hey, I've seen a boat.	10
00:16:39,398	00:16:41,696	 You have? It passed by not too long ago.	10
00:16:41,734	00:16:44,100	 A white one? Hi. I'm Dory.	10
00:16:44,136	00:16:45,330	 Where? Which way?	10
00:16:45,371	00:16:47,532	 Oh, oh, oh. It went this way.	10
00:16:47,573	00:16:48,972	 It went this way. Follow me.	10
00:16:49,008	00:16:52,375	 Thank you. Thank you, thank you so much.	10
00:16:52,411	00:16:53,537	 No problem.	10
00:17:18,537	00:17:20,129	 Hey...	10
00:17:20,172	00:17:21,571	 Wait!	10
00:17:27,679	00:17:29,772	 Will you quit it? What?	10
00:17:29,815	00:17:32,579	 I'm trying to swim here. Ocean isn't big enough for you?	10
00:17:32,618	00:17:32,951	 You got a problem, buddy? Huh? Huh?	10
00:17:34,853	00:17:37,549	 Do you? Do you? You want a piece of me?	10
00:17:37,589	00:17:39,454	 Ooh, I'm scared now. What?	10
00:17:39,491	00:17:42,085	 Wait a minute. Stop following me, OK?	10
00:17:42,127	00:17:45,255	 What? You're showing me where the boat went.	10
00:17:45,297	00:17:46,899	 A boat? Hey, I've seen a boat.	10
00:17:47,132	00:17:50,329	 It passed by not too long ago. It went this way.	10
00:17:50,369	00:17:51,768	 It went this way. Follow me.	10
00:17:51,804	00:17:53,931	 Wait a minute. What is going on?	10
00:17:53,972	00:17:56,270	 You already told me which way the boat was going.	10
00:17:56,308	00:17:59,505	 I did? Oh, no.	10
00:17:59,545	00:18:01,843	 If this is some kind of practical joke, it's not funny.	11
00:18:01,880	00:18:04,178	 And I know funny. I'm a clownfish.	11
00:18:04,216	00:18:07,617	 No, it's not. I know it's not. I'm so sorry.	11
00:18:07,653	00:18:10,622	 See, I suffer from short-term memory loss.	11
00:18:10,656	00:18:14,490	 Short-term memory loss. I dont believe this.	11
00:18:14,526	00:18:16,391	 No, it's true. I forget things almost instantly.	11
00:18:16,428	00:18:20,387	 It runs in my family. At least, I think it does.	11
00:18:20,432	00:18:24,459	 Um, hmm. Where are they?	11
00:18:29,208	00:18:30,642	 Can I help you?	11
00:18:30,642	00:18:33,304	 Something's wrong with you... really.	11
00:18:33,345	00:18:35,210	 You're wasting my time.	11
00:18:35,247	00:18:37,306	 I have to find my son.	11
00:18:40,586	00:18:42,110	 Hello.	11
00:18:42,154	00:18:44,145	 Ohh. Well, hi!	11
00:18:44,189	00:18:47,215	 Name's Bruce.	11
00:18:47,259	00:18:49,022	 It's all right. I understand.	11
00:18:49,061	00:18:52,792	 Why trust a shark, right?	11
00:18:59,872	00:19:02,966	 So, what's a couple of bites like you...	11
00:19:03,008	00:19:04,669	 doing out so late, eh?	11
00:19:04,710	00:19:06,735	 We're not doing anything. We're not even out.	11
00:19:06,778	00:19:09,008	 Great! Then how'd you morsels...	11
00:19:09,047	00:19:12,312	 like to come to a little get-together I'm having?	11
00:19:12,351	00:19:13,545	 You mean, like a party?	11
00:19:13,585	00:19:17,646	 Yeah, right. A party. What do you say?	11
00:19:17,689	00:19:19,850	 I love parties. That sounds like fun.	11
00:19:19,892	00:19:22,292	 Parties are fun, and it's tempting, but...	11
00:19:22,327	00:19:26,229	 Oh, come on, I insist.	11
00:19:26,265	00:19:29,462	 OK. That's all that matters.	11
00:19:32,104	00:19:34,265	 Hey, look, balloons. It is a party.	11
00:19:34,306	00:19:36,638	 Ha ha ha ha! Mind your distance, though.	12
00:19:36,675	00:19:39,337	 Those balloons can be a bit dodgy.	12
00:19:39,378	00:19:41,676	 You wouldnt want one of them to pop.	12
00:19:50,722	00:19:52,155	 Oh.	12
00:19:53,425	00:19:54,619	 Ohh.	12
00:19:55,627	00:19:58,255	 Anchor! Chum!	12
00:19:58,297	00:20:01,095	 There you are, Bruce. Finally.	12
00:20:01,133	00:20:03,795	 We got company. It's about time, mate.	12
00:20:03,835	00:20:04,703	 We've already gone through the snacks...	12
00:20:05,337	00:20:06,895	 and I'm still starving.	12
00:20:06,939	00:20:09,134	 We almost had a feeding frenzy.	12
00:20:09,174	00:20:10,903	 Come on, let's get this over with.	12
00:20:12,144	00:20:13,736	 Right, then.	12
00:20:13,779	00:20:16,077	 The meeting has officially come to order.	12
00:20:16,114	00:20:17,604	 Let us all say the pledge.	12
00:20:17,649	00:20:22,143	 I am a nice shark, not a mindless eating machine.	12
00:20:22,187	00:20:24,815	 If I am to change this image...	12
00:20:24,856	00:20:27,290	 I must first change myself.	12
00:20:27,326	00:20:30,056	 Fish are friends, not food.	12
00:20:30,095	00:20:31,426	 Except stinkin' dolphins.	12
00:20:31,463	00:20:34,489	 Dolphins. Yeah. They think they're so cute.	12
00:20:34,533	00:20:36,262	" ""Look at me. I'm a flippin' little dolphin."	12
00:20:36,301	00:20:37,962	" ""Let me flip for you. Ain't I something?"""	12
00:20:38,003	00:20:40,597	 Right, then. Today's meeting is Step 5...	12
00:20:40,639	00:20:42,300	 Bring a Fish Friend.	12
00:20:42,341	00:20:43,831	 Do you all have your friends?	12
00:20:43,875	00:20:45,035	 Got mine.	12
00:20:46,945	00:20:49,038	 Hey, there. How about you, Chum?	12
00:20:49,081	00:20:53,609	 Oh, I... seem to have misplaced my friend.	12
00:20:55,220	00:20:56,585	 That's all right, Chum.	12
00:20:56,622	00:20:58,146	 I had a feeling this would be a difficult step.	12
00:20:58,190	00:20:59,714	 You can help yourself to one of my friends.	12
00:20:59,758	00:21:03,216	 Thanks, mate. A little chum for Chum, eh?	12
00:21:03,262	00:21:04,923	 I'll start the testimonies.	12
00:21:04,963	00:21:07,193	 Hello. My name is Bruce.	12
00:21:07,232	00:21:08,494	 Hello, Bruce.	12
00:21:08,533	00:21:10,694	 It has been three weeks since my last fish.	12
00:21:10,736	00:21:14,172	 On my honor, or may I be chopped up and made into soup.	12
00:21:14,206	00:21:16,970	 You're an inspiration! Amen.	13
00:21:18,210	00:21:19,643	 Right, then. Who's next?	13
00:21:19,678	00:21:20,975	 Pick me, pick me.	13
00:21:21,013	00:21:22,878	 Yes. The little Sheila down the front.	13
00:21:22,914	00:21:24,973	 Whoo! Come on up here.	13
00:21:25,951	00:21:27,816	 Hi. I'm Dory.	13
00:21:27,853	00:21:30,253	 Hello, Dory. And, uh, well...	13
00:21:30,289	00:21:33,452	 I dont think I've ever eaten a fish.	13
00:21:33,492	00:21:37,053	 That's incredible. Good on you, mate.	13
00:21:37,095	00:21:39,120	 I'm glad I got that off my chest.	13
00:21:39,164	00:21:40,495	 All right, anyone else?	13
00:21:40,532	00:21:43,126	 How about you, mate? What's your problem?	13
00:21:43,168	00:21:45,398	 Me? I dont have a problem.	13
00:21:45,437	00:21:46,802	 Oh, OK.	13
00:21:46,838	00:21:48,430	 Denial. Aah!	13
00:21:48,473	00:21:50,304	 Just start with your name.	13
00:21:50,342	00:21:53,038	 OK. Uh, hello.	13
00:21:53,078	00:21:56,172	 My name is Marlin. I'm a clownfish.	13
00:21:56,214	00:21:59,240	 A clownfish? Really? Tell us a joke.	13
00:21:59,284	00:22:01,013	 I love jokes.	13
00:22:01,053	00:22:04,045	 I actually do know one that's pretty good.	13
